division,div_name,year,month,date,pdsi,nation,drought_class
6,East Central,2014,3,2014-03-01,4.42,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2014,4,2014-04-01,4.63,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2014,5,2014-05-01,4.72,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2014,6,2014-06-01,5.57,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2014,7,2014-07-01,5.36,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2014,8,2014-08-01,6.63,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2014,9,2014-09-01,6.08,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2014,10,2014-10-01,5.0,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2014,11,2014-11-01,4.64,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2014,12,2014-12-01,4.47,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2015,1,2015-01-01,3.87,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2015,2,2015-02-01,3.28,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2015,3,2015-03-01,1.96,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2015,4,2015-04-01,0.65,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2015,5,2015-05-01,2.14,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2015,6,2015-06-01,2.55,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2015,7,2015-07-01,3.01,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2015,8,2015-08-01,3.74,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2015,9,2015-09-01,3.34,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2015,10,2015-10-01,2.95,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2015,11,2015-11-01,2.84,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2015,12,2015-12-01,3.37,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2016,1,2016-01-01,2.96,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2016,2,2016-02-01,2.82,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2016,3,2016-03-01,2.13,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2016,4,2016-04-01,3.55,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2016,5,2016-05-01,3.2,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2016,6,2016-06-01,2.3,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2016,7,2016-07-01,2.25,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2016,8,2016-08-01,2.45,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2016,9,2016-09-01,2.22,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2016,10,2016-10-01,1.66,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2016,11,2016-11-01,1.24,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2016,12,2016-12-01,1.82,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2017,1,2017-01-01,2.04,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2017,2,2017-02-01,-0.21,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2017,3,2017-03-01,-0.74,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2017,4,2017-04-01,-0.86,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2017,5,2017-05-01,-1.56,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2017,6,2017-06-01,-2.18,Rosebud (Sicangu Lakota),Moderate drought
6,East Central,2017,7,2017-07-01,-2.88,Rosebud (Sicangu Lakota),Moderate drought
6,East Central,2017,8,2017-08-01,0.9,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2017,9,2017-09-01,1.31,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2017,10,2017-10-01,-0.18,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2017,11,2017-11-01,-0.59,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2017,12,2017-12-01,-0.65,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2018,1,2018-01-01,-0.86,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2018,2,2018-02-01,0.33,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2018,3,2018-03-01,0.35,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2018,4,2018-04-01,0.52,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2018,5,2018-05-01,0.03,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2018,6,2018-06-01,0.59,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2018,7,2018-07-01,0.61,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2018,8,2018-08-01,0.41,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2018,9,2018-09-01,0.78,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2018,10,2018-10-01,1.35,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2018,11,2018-11-01,1.3,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2018,12,2018-12-01,1.57,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2019,1,2019-01-01,1.55,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2019,2,2019-02-01,1.87,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2019,3,2019-03-01,2.08,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2019,4,2019-04-01,2.5,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2019,5,2019-05-01,5.19,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2019,6,2019-06-01,4.48,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2019,7,2019-07-01,6.74,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2019,8,2019-08-01,8.67,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2019,9,2019-09-01,9.89,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2019,10,2019-10-01,9.8,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2019,11,2019-11-01,9.46,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2019,12,2019-12-01,9.17,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2020,1,2020-01-01,8.46,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2020,2,2020-02-01,7.88,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2020,3,2020-03-01,7.27,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2020,4,2020-04-01,6.48,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2020,5,2020-05-01,6.8,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2020,6,2020-06-01,6.38,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2020,7,2020-07-01,7.57,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2020,8,2020-08-01,7.89,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2020,9,2020-09-01,6.8,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2020,10,2020-10-01,6.57,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2020,11,2020-11-01,-0.42,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2020,12,2020-12-01,-0.46,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2021,1,2021-01-01,-0.58,Rosebud (Sicangu Lakota),Mild drought
